record_id,citation,doi,report_access,full_text_stage,final_role,six_domain_appraisal,quantitative_performance_use
E276,He Zhang; Emilien Aldana-Jague; François Clapuyt; F. Wilken; V. Vanacker; Kristof van Oost. Evaluating the potential of post-processing kinematic (PPK) georeferencing for UAV-based structure- from-motion (SfM) photogrammetry and surface change detection. Earth Surface Dynamics. 2019. https://doi.org/10.5194/esurf-7-807-2019,10.5194/esurf-7-807-2019,RETRIEVED_OPEN_PDF,INCLUDED,TRANSFER-METHOD,yes,claim-specific
E29,"VOSSELMAN G. Slope based filtering of laser altimetry data[C]//Int Arch Photogramm Remote Sens, 2000, XXXIII(Part B3): 935-942.",,FT,INCLUDED,TRANSFER-METHOD,yes,claim-specific
E30,"AXELSSON P. DEM generation from laser scanner data using adaptive TIN models[C]//Int Arch Photogramm Remote Sens, 2000, XXXIII(Part B4): 110-117.",,FT,INCLUDED,TRANSFER-METHOD,yes,claim-specific
E32,"PINGEL T J, CLARKE K C, MCBRIDE W A. An improved simple morphological filter for the terrain classification of airborne LIDAR data[J]. ISPRS J Photogramm Remote Sens, 2013, 77: 21-30. DOI: 10.1016/j.isprsjprs.2012.12.002.",10.1016/j.isprsjprs.2012.12.002,FT,INCLUDED,TRANSFER-METHOD,yes,claim-specific
E33,"ZHANG W, QI J, WAN P, et al. An Easy-to-Use Airborne LiDAR Data Filtering Method Based on Cloth Simulation[J]. Remote Sensing, 2016, 8(6): 501. DOI: 10.3390/rs8060501.",10.3390/rs8060501,FT,INCLUDED,TRANSFER-METHOD,yes,claim-specific
E343,"I. Puente; R. Lindenbergh; A. Van Natijne; R. Esposito; R. Schipper. MONITORING OF PROGRESSIVE DAMAGE IN BUILDINGS USING LASER SCAN DATA. The International Archives of the Photogrammetry, Remote Sensing and Spatial Information Sciences. 2018. https://doi.org/10.5194/isprs-archives-xlii-2-923-2018",10.5194/isprs-archives-xlii-2-923-2018,RETRIEVED_OPEN_PDF,INCLUDED,TRANSFER-METHOD,yes,claim-specific
E361,Jack G. Williams; Nick Rosser; R. J. Hardy; Matthew J. Brain; A. Afana. Optimising 4-D surface change detection: an approach for capturing rockfall magnitude–frequency. Earth Surface Dynamics. 2018. https://doi.org/10.5194/esurf-6-101-2018,10.5194/esurf-6-101-2018,RETRIEVED_OPEN_PDF,INCLUDED,TRANSFER-METHOD,yes,claim-specific
E379,"Zihan Lin; Jincheng Yu; Lipu Zhou; Xudong Zhang; Jian Wang; Yu Wang. Point Cloud Change Detection With Stereo V-SLAM: Dataset, Metrics and Baseline. IEEE Robotics and Automation Letters. 2022. https://doi.org/10.1109/lra.2022.3219018",10.1109/lra.2022.3219018,RETRIEVED_OPEN_PDF,INCLUDED,TRANSFER-METHOD,yes,claim-specific
E381,Tomas Petricek; Tomáš Svoboda. Point cloud registration from local feature correspondences—Evaluation on challenging datasets. PLoS ONE. 2017. https://doi.org/10.1371/journal.pone.0187943,10.1371/journal.pone.0187943,RETRIEVED_OPEN_PDF,INCLUDED,TRANSFER-METHOD,yes,claim-specific
E398,"Xiaoxu Ren; Zekun Zhang; Haili Sun. RESEARCH ON SELF-CROSS-TRANSFORMER MODEL OF POINT CLOUD CHANGE DETECTION. The international archives of the photogrammetry, remote sensing and spatial information sciences/International archives of the photogrammetry, remote sensing and spatial information sciences. 2023. https://doi.org/10.5194/isprs-archives-xlviii-1-w2-2023-179-2023",10.5194/isprs-archives-xlviii-1-w2-2023-179-2023,RETRIEVED_OPEN_PDF,INCLUDED,TRANSFER-METHOD,yes,claim-specific
